iter	Passed	Remaining
0	50	202177
1	68	136653
2	84	113079
3	100	100515
4	116	93033
5	131	87850
6	148	84988
7	164	81988
8	183	81295
9	199	79568
10	219	79712
11	238	79318
12	254	78144
13	270	77070
14	287	76278
15	307	76577
16	323	75719
17	340	75245
18	355	74572
19	374	74475
20	392	74275
21	405	73376
22	420	72632
23	434	71942
24	448	71338
25	464	70935
26	480	70706
27	495	70327
28	511	70021
29	526	69671
30	541	69365
31	556	69033
32	581	69949
33	596	69610
34	611	69314
35	626	68999
36	642	68781
37	657	68562
38	672	68313
39	688	68135
40	703	67918
41	717	67609
42	732	67376
43	747	67248
44	763	67111
45	778	66957
46	795	66873
47	810	66691
48	824	66455
49	839	66302
50	854	66147
51	868	65941
52	883	65759
53	897	65575
54	911	65404
55	927	65305
56	944	65308
57	959	65219
58	974	65101
59	989	64974
60	1006	64985
61	1022	64919
62	1037	64836
63	1052	64754
64	1067	64647
65	1083	64563
66	1097	64406
67	1111	64264
68	1125	64114
69	1140	64015
70	1155	63935
71	1170	63866
72	1186	63844
73	1201	63765
74	1217	63715
75	1232	63661
76	1248	63619
77	1263	63537
78	1278	63447
79	1293	63370
80	1309	63351
81	1324	63307
82	1339	63195
83	1353	63115
84	1368	63030
85	1383	62979
86	1398	62919
87	1418	63060
88	1434	63020
89	1448	62946
90	1463	62886
91	1479	62825
92	1495	62828
93	1509	62743
94	1524	62670
95	1539	62613
96	1554	62546
97	1569	62497
98	1584	62430
99	1599	62379
100	1614	62326
101	1629	62263
102	1644	62203
103	1659	62161
104	1675	62141
105	1696	62336
106	1712	62305
107	1727	62236
108	1741	62160
109	1755	62088
110	1770	62047
111	1785	61969
112	1799	61896
113	1814	61848
114	1831	61876
115	1848	61889
116	1863	61831
117	1878	61795
118	1893	61744
119	1909	61731
120	1923	61666
121	1939	61661
122	1955	61651
123	1971	61618
124	1987	61608
125	2003	61610
126	2019	61580
127	2034	61541
128	2048	61484
129	2064	61451
130	2080	61458
131	2095	61417
132	2109	61343
133	2124	61291
134	2139	61259
135	2154	61213
136	2169	61178
137	2185	61157
138	2200	61116
139	2216	61100
140	2242	61367
141	2257	61323
142	2272	61291
143	2289	61301
144	2305	61287
145	2320	61267
146	2335	61208
147	2350	61163
148	2365	61145
149	2380	61110
150	2397	61122
151	2412	61082
152	2427	61039
153	2442	60989
154	2456	60938
155	2470	60886
156	2485	60850
157	2500	60805
158	2514	60731
159	2528	60673
160	2542	60633
161	2557	60594
162	2572	60565
163	2587	60524
164	2602	60478
165	2616	60433
166	2630	60383
167	2645	60342
168	2659	60295
169	2677	60323
170	2693	60311
171	2707	60257
172	2721	60207
173	2737	60184
174	2753	60173
175	2768	60144
176	2783	60113
177	2797	60072
178	2812	60029
179	2827	60004
180	2840	59938
181	2856	59924
182	2871	59899
183	2887	59885
184	2902	59856
185	2918	59842
186	2932	59789
187	2948	59781
188	2965	59796
189	2981	59787
190	2997	59772
191	3011	59736
192	3026	59689
193	3041	59665
194	3056	59633
195	3071	59607
196	3085	59570
197	3100	59526
198	3114	59493
199	3129	59458
200	3143	59419
